"pn",Hospital name,Street address,City,State,"Zip code","Hospital system or, if independent, IPPS/CAH","Is_hospital_a_critical_access_hospital","Hospital Compare 5-star rating (October 2018, NA=Not Available)","Number of outpatient services","Total private allowed amount for outpatient services ($ millions)","Simulated Medicare allowed amount for outpatient services ($ millions)","Relative price for outpatient services","Standardized price per outpatient service","Number of inpatient stays","Total private allowed amount for inpatient services ($ millions)","Simulated Medicare allowed amount for inpatient services ($ millions)","Relative price for inpatient services","Standardized price per inpatient stay","Total private allowed amount for inpatient and outpatient services ($ millions)","Simulated Medicare allowed amount for inpatient and outpatient services ($ millions)","Relative price for professional inpatient and outpatient services","Relative price for inpatient facility services","Relative_price_for_outpatient_facility_services","Relative price for inpatient and outpatient services","Total private allowed amount for facility inpatient and outpatient services ($ millions)","Simulated Medicare allowed amount for facility inpatient and outpatient services ($ millions)","Total private allowed amount for professional inpatient and outpatient services ($ millions)","Simulated Medicare allowed amount for professional inpatient and outpatient services ($ millions)"
010034,Community Hospital Inc.,805 Friendship Road,Tallassee,AL,36078,Independent (IPPS),N,3,28,.02,.01,129% ,$105.83,,,,,,,,,,113%,,,,,
010035,Cullman Regional,"1912 Alabama Highway
157",Cullman,AL,35058,Independent (IPPS),N,2,44,.07,.03,193% ,$170.34,,,,,,,,,,197%,,,,,
010039,Huntsville Hospital,101 Sivley Rd,Huntsville,AL,35801,"Huntsville Hospital
Health System",N,2,1091,1.74,1.12,156% ,$134.60,190,4.77,1.54,309% ,"$28,596",6.51,2.66,126% ,376%,158%,245% ,5.71,2.02,.80,.63
010040,"Gadsden Regional Medical
Center",1007 Goodyear Avenue,Gadsden,AL,35903,"Community Health
Systems",N,2,13,.09,.01,669% ,$586.48,,,,,,,,,,873%,,,,,
010049,Medical Center Enterprise,400 N Edwards Street,Enterprise,AL,36330,"Community Health
Systems",N,3,13,.07,.01,948% ,$807.81,,,,,,,,,,1244%,,,,,
010055,Flowers Hospital,4370 West Main Street,Dothan,AL,36305,"Community Health
Systems",N,3,53,.06,.05,109% ,$85.03,,,,,,,,,,112%,,,,,
010056,St Vincents Birmingham,810 St Vincent's Drive,Birmingham,AL,35205,Ascension Health,N,4,107,.28,.18,157% ,$133.94,14,.23,.12,201% ,"$16,099",.51,.29,128% ,235%,162%,174% ,.42,.22,.09,.07
010065,Russell Medical Center,3316 Highway 280,Alexander City,AL,35010,Independent (IPPS),N,3,16,.01,.01,115% ,$92.32,,,,,,,,,,103%,,,,,
010078,"Northeast Alabama Regional
Med Ctr",400 East 10th Street,Anniston,AL,36207,"Regional Medical
Center",N,2,23,.05,.03,160% ,$133.47,,,,,,,,,,167%,,,,,
010079,Athens Limestone,700 West Market Street,Athens,AL,35611,"Huntsville Hospital
Health System",N,4,54,.08,.04,183% ,$154.01,,,,,,,,,,186%,,,,,
010083,"South Baldwin Regional
Medical Center","1613 North Mckenzie
Street",Foley,AL,36535,"Community Health
Systems",N,3,177,.33,.14,237% ,$187.14,13,.14,.08,179% ,"$11,144",.48,.22,165% ,187%,254%,216% ,.41,.18,.07,.04
010085,"Decatur Morgan - Decatur
Campus",1201 7th Street Se,Decatur,AL,35601,"Huntsville Hospital
Health System",N,3,82,.13,.05,249% ,$200.12,,,,,,,,,,268%,,,,,
010090,Providence Hospital,6801 Airport Boulevard,Mobile,AL,36608,Ascension Health,N,2,79,.08,.04,179% ,$148.80,,,,,,,,,,184%,,,,,
010092,Dch Regional Medical Center,"809 University
Boulevard East",Tuscaloosa,AL,35401,DCH Health System,N,2,122,.14,.09,167% ,$159.15,14,.26,.10,253% ,"$22,626",.40,.19,145% ,282%,170% ,214% ,.34,.15,.06,.04
010097,Elmore Community Hospital,500 Hospital Drive,Wetumpka,AL,36092,Independent (IPPS),N,4,11,.01,.00,148% ,$125.03,,,,,,,,,,135% ,,,,,
010099,"D W Mcmillan Memorial
Hospital",1301 Belleville Avenue,Brewton,AL,36426,Independent (IPPS),N,3,19,.01,.01,164% ,$121.20,,,,,,,,,,168%,,,,,
010100,Thomas Hospital,750 Morphy Avenue,Fairhope,AL,36532,"Infirmary Health
System",N,3,106,.20,.09,213% ,$157.92,,,,,,,,,,232%,,,,,
010103,"Princeton Baptist Medical
Center","701 Princeton Avenue
Southwest",Birmingham,AL,35211,"Tenet Healthcare
Corporation",N,2,14,.05,.03,163% ,$118.19,,,,,,,,,,152%,,,,,
010104,Grandview Medical Center,"3690 Grandview
Parkway",Birmingham,AL,35243,"Community Health
Systems",N,2,76,.20,.19,106% ,$84.55,13,.26,.12,218% ,"$16,920",.45,.30,125% ,252% ,95%,150% ,.39,.25,.07,.05
010108,Prattville Baptist Hospital,124 S Memorial Dr,Prattville,AL,36067,Baptist Health,N,3,16,.01,.01,180% ,$154.47,,,,,,,,,,193% ,,,,,
010113,"Mobile Infirmary Medical
Center","5 Mobile Infirmary
Circle",Mobile,AL,36652,"Infirmary Health
System",N,1,58,.10,.07,151% ,$114.50,14,.17,.14,121% ,"$7,606",.27,.21,160% ,117%,141%,130% ,.22,.17,.05,.03
010114,Uab Medical West,"995 9th Avenue
Southwest",Bessemer,AL,35021,UAB Health System,N,3,85,.15,.08,186% ,$162.97,,,,,,,,,,193%,,,,,
010126,Troy Regional Medical Center,"1330 Highway 231
South",Troy,AL,36081,Independent (IPPS),N,2,20,.02,.01,186% ,$162.77,,,,,,,,,,204%,,,,,
010129,North Baldwin Infirmary,1815 Hand Avenue,Bay Minette,AL,36507,"Infirmary Health
System",N,2,11,.01,.01,154% ,$130.64,,,,,,,,,,152%,,,,,
010130,St. Vincents St. Clair,7063 Veterans Parkway,Pell City,AL,35125,Ascension Health,N,5,22,.03,.03,131% ,$106.22,,,,,,,,,,121%,,,,,
010131,Crestwood Medical Center,One Hospital Dr Se,Huntsville,AL,35801,"Community Health
Systems",N,2,83,.18,.09,189% ,$158.19,16,.21,.13,165% ,"$10,992",.39,.22,139% ,181%,190%,175% ,.32,.17,.06,.05
010139,"Brookwood Baptist Medical
Center","2010 Brookwood
Medical Center Drive",Birmingham,AL,35209,"Tenet Healthcare
Corporation",N,3,37,.09,.07,139% ,$95.72,,,,,,,,,,146%,,,,,
010144,Springhill Memorial Hospital,3719 Dauphin Street,Mobile,AL,36608,Independent (IPPS),N,1,19,.03,.02,154% ,$127.38,,,,,,,,,,151%,,,,,
010149,Baptist Medical Center East,400 Taylor Road,Montgomery,AL,36117,Baptist Health,N,4,58,.08,.05,167% ,$133.22,,,,,,,,,,160%,,,,,
010157,Shoals Hospital,"201 West Avalon
Avenue",Muscle Shoals,AL,35661,Lifepoint Health,N,3,46,.15,.04,360% ,$262.24,,,,,,,,,,402%,,,,,
010168,"Jack Hughston Memorial
Hospital",4401 River Chase Drive,Phenix City,AL,36867,Independent (IPPS),N,5,16,.03,.02,126% ,$109.24,,,,,,,,,,111%,,,,,
020001,"Providence Alaska Medical
Center",3200 Providence Drive,Anchorage,AK,99508,"Providence Saint
Joseph Health",N,4,608,3.46,.91,382% ,$448.84,195,5.67,2.22,255% ,"$26,966",9.13,3.12,393% ,242%,367%,292% ,7.39,2.68,1.74,.44
020006,Mat-Su Regional Med Ctr,"2500 South Woodworth
Loop",Palmer,AK,99645,"Community Health
Systems",N,3,505,3.44,.76,452% ,$587.10,41,1.48,1.14,130% ,"$14,984",4.91,1.90,398% ,115%,462%,259% ,3.93,1.65,.99,.25
020008,Bartlett Regional Hospital,3260 Hospital Dr,Juneau,AK,99801,Independent (IPPS),N,4,118,.48,.11,443% ,$627.37,,,,,,,,,,440%,,,,,
020012,Fairbanks Memorial,1650 Cowles Street,Fairbanks,AK,99701,Independent (IPPS),N,5,117,.34,.09,402% ,$507.04,,,,,,,,,,398%,,,,,
020017,Alaska Regional Hospital,2801 Debarr Road,Anchorage,AK,99508,HCA Healthcare,N,5,148,.80,.16,495% ,$585.13,25,1.78,.36,493% ,"$47,801",2.59,.52,421% ,507%,504%,493% ,2.25,.44,.34,.08
020024,"Central Peninsula General
Hospital",250 Hospital Place,Soldotna,AK,99669,Independent (IPPS),N,3,363,1.39,.35,393% ,$501.20,21,.86,.41,210% ,"$31,515",2.26,.77,340% ,205%,391%,295% ,1.82,.64,.44,.13
021302,"Providence Seward Medical &
Care Center","417 First Avenue, Po
Box 365",Seward,AK,99664,"Providence Saint
Joseph Health",Y,NA,31,.09,.05,190% ,$690.13,,,,,,,,,,164%,,,,,
021306,"Prov. Kodiak Island Medical
Center","1915 East Rezanof
Drive",Kodiak,AK,99615,"Providence Saint
Joseph Health",Y,NA,16,.08,.03,248% ,$639.34,,,,,,,,,,226%,,,,,
021313,South Peninsula Hospital,4300 Bartlett St,Homer,AK,99603,Independent (CAH),Y,4,17,.08,.05,185% ,$837.99,,,,,,,,,,161%,,,,,
030001,Abrazo Maryvale Campus,"5102 West Campbell
Avenue",Phoenix,AZ,85031,"TENET Healthcare
Corporation",N,NA,12,.03,.01,251% ,$247.93,,,,,,,,,,240%,,,,,
030002,"Banner University Medical
Center Phx","1111 East Mcdowell
Road",Phoenix,AZ,85006,Banner Health,N,2,122,.42,.24,171% ,$183.42,53,1.84,.72,255% ,"$22,739",2.26,.96,141% ,268%,176%,234% ,2.09,.84,.17,.12
030006,Tucson Medical Center,5301 East Grant Road,Tucson,AZ,85712,TMC Healthcare,N,3,217,.35,.24,147% ,$144.46,41,.79,.58,137% ,"$13,149",1.14,.82,98% ,154%,149%,140% ,.95,.62,.19,.20
030007,Verde Valley Medical Center,269 South Candy Lane,Cottonwood,AZ,86326,"Northern Arizona
Healthcare",N,5,212,.59,.14,427% ,$460.90,12,.42,.16,258% ,"$30,438",1.02,.30,165% ,271%,500%,335% ,.94,.26,.08,.05
030012,"Yavapai Regional Medical
Center","1003 Willow Creek
Road",Prescott,AZ,86301,"Yavapai Regional
Medical Center",N,3,673,2.13,.49,437% ,$461.37,25,.90,.34,263% ,"$25,540",3.02,.83,115% ,312%,509%,365% ,2.83,.66,.19,.16
030013,Yuma Regional Medical Center,2400 South Avenue A,Yuma,AZ,85364,"Yuma Regional
Medical Center",N,3,308,1.96,.33,589% ,$642.91,23,.53,.21,256% ,"$21,747",2.48,.54,161% ,269%,705%,462% ,2.33,.44,.16,.10
030014,John C Lincoln Medical Center,"250 East Dunlap
Avenue",Phoenix,AZ,85020,HonorHealth,N,2,244,.36,.22,163% ,$160.42,15,.45,.19,237% ,"$19,337",.82,.42,148% ,255% ,165%,197% ,.71,.34,.11,.08
030016,"Banner Casa Grande Medical
Center","1800 East Florence
Boulevard",Casa Grande,AZ,85122,Banner Health,N,3,63,.08,.05,174% ,$177.29,,,,,,,,,,167%,,,,,
030022,Maricopa Medical Center,"2601 East Roosevelt
Street",Phoenix,AZ,85008,"Maricopa Integrated
Health System",N,3,112,.10,.06,159% ,$166.23,,,,,,,,,,185%,,,,,
030023,Flagstaff Medical Center,"1200 North Beaver
Street",Flagstaff,AZ,86001,"Northern Arizona
Healthcare",N,5,279,1.13,.31,364% ,$407.55,35,1.04,.52,202% ,"$30,802",2.17,.83,167% ,207%,414%,263% ,1.99,.72,.18,.11
030024,"St. Josephs Hospital & Medical
Ctr","350 West Thomas
Road",Phoenix,AZ,85013,Dignity Health,N,2,509,1.73,.60,291% ,$284.72,104,5.65,2.53,223% ,"$33,398",7.38,3.13,146% ,237%,322%,236% ,6.70,2.66,.68,.47
030030,Abrazo Central Campus,"2000 West Bethany
Home Road",Phoenix,AZ,85015,"Tenet Healthcare
Corporation",N,3,52,.11,.05,236% ,$242.00,,,,,,,,,,242%,,,,,
030036,"Chandler Regional Medical
Center",1955 West Frye Road,Chandler,AZ,85224,Dignity Health,N,3,279,.89,.43,206% ,$213.79,73,2.51,.97,259% ,"$22,084",3.41,1.40,149% ,271%,221%,243% ,3.12,1.21,.28,.19
030037,St. Lukes Medical Center,"1800 East Van Buren
Street",Phoenix,AZ,85006,"Steward Health Care
System",N,2,213,.36,.18,199% ,$208.09,22,.45,.28,160% ,"$13,051",.81,.46,154% ,164%,210%,175% ,.67,.37,.13,.09
030038,"Scottsdale Osborn Medical
Center",7400 East Osborn Road,Scottsdale,AZ,85251,HonorHealth,N,4,216,.72,.34,212% ,$203.65,38,1.35,.45,300% ,"$23,728",2.07,.79,211% ,312%,218%,262% ,1.77,.65,.29,.14
030043,Canyon Vista Medical Center,5700 East Highway 90,Sierra Vista,AZ,85635,Lifepoint Health,N,1,47,.14,.04,395% ,$442.89,,,,,,,,,,459%,,,,,
030055,"Kingman Regional Medical
Center",3269 Stockton Hill Road,Kingman,AZ,86409,Mayo Clinic,N,2,369,1.21,.30,396% ,$425.56,19,.37,.17,217% ,"$19,220",1.58,.48,172% ,223%,453%,332% ,1.43,.39,.14,.08
030061,Banner Boswell Medical Center,"10401 West
Thunderbird Boulevard",Sun City,AZ,85351,Banner Health,N,4,96,.36,.12,285% ,$280.97,25,1.15,.34,345% ,"$24,063",1.51,.46,136% ,377%,322%,328% ,1.41,.39,.10,.07
030062,Summit Healthcare,"2200 East Show Low
Lake Road",Show Low,AZ,85901,Independent (IPPS),N,4,92,.31,.06,494% ,$501.32,,,,,,,,,,575%,,,,,
030064,"Banner University Med Center
Tucson","1501 North Campbell
Avenue",Tucson,AZ,85724,Banner Health,N,2,156,.29,.17,173% ,$169.08,29,.54,.41,131% ,"$14,296",.83,.58,194% ,123%,172%,143% ,.69,.51,.15,.07
030065,Banner Desert Medical Center,"1400 South  Dobson
Road",Mesa,AZ,85202,Banner Health,N,2,290,.89,.42,210% ,$216.05,62,2.26,1.10,205% ,"$30,079",3.16,1.53,153% ,210%,227%,207% ,2.87,1.34,.28,.18
030068,"Mt. Graham Regional Medical
Center","1600 South 20th
Avenue",Safford,AZ,85546,Independent (IPPS),N,4,25,.06,.01,439% ,$473.84,,,,,,,,,,530%,,,,,
030069,"Havasu Regional Medical
Center",101 Civic Center Lane,"Lake Havasu
City",AZ,86403,Lifepoint Health,N,3,629,4.29,.76,568% ,$616.47,55,1.00,.63,159% ,"$12,156",5.29,1.38,143% ,163%,669%,383% ,4.98,1.16,.32,.22
030078,Phoenix Indian Medical Center,4212 North 16th Street,Phoenix,AZ,85016,"U. S. Indian Health
Service",N,NA,20,.03,.01,345% ,$410.53,,,,,,,,,,301%,,,,,
030083,Abrazo Scottsdale Campus,3929 East Bell Road,Phoenix,AZ,85032,"Tenet Healthcare
Corporation",N,3,65,.17,.10,176% ,$195.13,,,,,,,,,,190% ,,,,,
030085,Northwest Medical Center,"6200 North La Cholla
Boulevard",Tucson,AZ,85741,"Community Health
Systems",N,2,427,.92,.56,163% ,$157.67,106,1.15,.77,150% ,"$13,274",2.06,1.33,122% ,163%,169% ,156% ,1.69,1.02,.38,.31
030087,"Scottsdale Shea Medical
Center","9003 East Shea
Boulevard",Scottsdale,AZ,85260,HonorHealth,N,4,249,.80,.50,159% ,$150.14,61,1.11,.46,239% ,"$17,752",1.91,.97,137% ,262%,165%,197% ,1.64,.77,.27,.20
030088,"Banner Baywood Medical
Center","6644 East Baywood
Avenue",Mesa,AZ,85206,Banner Health,N,4,137,.39,.17,227% ,$226.43,27,.58,.20,299% ,"$23,146",.97,.37,152% ,337%,243%,265% ,.86,.29,.11,.07
030089,"Banner Thunderbird Medical
Center","5555 West Thunderbird
Road",Glendale,AZ,85306,Banner Health,N,2,304,1.01,.48,210% ,$211.36,60,1.50,.59,252% ,"$21,802",2.51,1.08,125% ,270%,232%,233% ,2.29,.90,.22,.17
030092,Deer Valley Medical Center,"19829 North 27th
Avenue",Phoenix,AZ,85027,HonorHealth,N,3,326,.89,.39,228% ,$234.99,23,.50,.20,248% ,"$19,465",1.39,.59,146% ,269%,252%,235% ,1.21,.47,.18,.13
030093,"Banner Del E Webb Medical
Center","14502 West Meeker
Boulevard",Sun City West,AZ,85375,Banner Health,N,4,309,.90,.47,191% ,$191.26,46,.91,.40,230% ,"$17,644",1.81,.87,140% ,249%,207%,209% ,1.56,.68,.26,.18
030094,Abrazo Arrowhead Campus,"18701 North 67th
Avenue",Glendale,AZ,85308,"Tenet Healthcare
Corporation",N,3,206,.52,.30,173% ,$172.98,38,1.05,.51,207% ,"$18,997",1.56,.80,139% ,218%,178%,194% ,1.39,.68,.18,.13
030101,"Western Arizona Regional
Medical Center",2735 Silver Creek Road,Bullhead City,AZ,86442,"Community Health
Systems",N,1,181,.18,.13,142% ,$141.29,,,,,,,,,,141%,,,,,
030103,Mayo Clinic Hospital,"5777 East Mayo
Boulevard",Phoenix,AZ,85054,Mayo Clinic,N,5,1216,8.05,1.93,416% ,$398.75,166,9.03,3.13,288% ,"$28,937",17.08,5.07,394% ,283%,402% ,337% ,13.88,4.26,3.20,.81
030107,Az Spine & Joint Hospital,"4620 East Baseline
Road",Mesa,AZ,85206,"National Surgical
Healthcare",N,NA,17,.09,.08,125% ,$146.82,,,,,,,,,,100%,,,,,
030108,"The Core Institute Specialty
Hospital","6501 North 19th
Avenue",Phoenix,AZ,85015,Independent (IPPS),N,NA,29,.09,.13,74% ,$77.74,,,,,,,,,,69%,,,,,
030110,Abrazo West Campus,"13677 West Mcdowell
Road",Goodyear,AZ,85395,"Tenet Healthcare
Corporation",N,3,344,.68,.35,197% ,$136.69,38,1.23,.47,261% ,"$22,608",1.91,.82,161% ,281%,202%,234% ,1.67,.67,.24,.15
030114,"Northwest Medical Center Oro
Valley","1551 East Tangerine
Road",Oro Valley,AZ,85755,"Community Health
Systems",N,4,373,.73,.39,187% ,$180.02,19,.31,.17,180% ,"$13,156",1.04,.56,163% ,192%,190%,185% ,.86,.45,.18,.11
030115,Banner Estrella Medical Center,"9201 West Thomas
Road",Phoenix,AZ,85037,Banner Health,N,4,331,.95,.42,227% ,$223.33,56,2.04,.57,355% ,"$32,248",2.99,1.00,152% ,379%,244%,300% ,2.76,.85,.23,.15
030117,Valley View Medical Center,5330 South Highway 95,Fort Mohave,AZ,86426,Lifepoint Health,N,3,182,.15,.09,162% ,$159.10,11,.14,.07,191% ,"$13,593",.29,.16,141% ,198%,165% ,175% ,.25,.14,.04,.03
030118,"Yavapai Regional Medical
Center East Campus","7700 East Florentine
Road",Prescott Valley,AZ,86314,"Yavapai Regional
Medical Center",N,NA,34,.08,.03,309% ,$326.97,,,,,,,,,,366%,,,,,
030119,Mercy Gilbert Medical Center,"3555 South Val Vista
Drive",Gilbert,AZ,85297,Dignity Health,N,3,201,.64,.29,217% ,$232.77,56,1.24,.47,266% ,"$25,752",1.88,.76,143% ,298% ,235% ,247% ,1.64,.59,.24,.17
030120,Gilbert Hospital,"5656 South Power
Road",Gilbert,AZ,85295,Independent (IPPS),N,NA,24,.04,.01,398% ,$413.00,,,,,,,,,,452%,,,,,
030121,Mountain Vista Medical Center,"1301 South Crismon
Road",Mesa,AZ,85209,"Steward Health Care
System",N,2,64,.12,.09,140% ,$130.55,16,.52,.18,282% ,"$23,240",.64,.27,167% ,291% ,137%,236% ,.59,.24,.05,.03
030122,"Banner Gateway Medical
Center",1900 North Higley Road,Gilbert,AZ,85234,Banner Health,N,3,238,.80,.29,278% ,$264.25,45,1.79,.39,458% ,"$43,751",2.59,.68,174% ,527%,302%,382% ,2.35,.54,.24,.14
030123,"Scottsdale Thompson Peak
Med Ctr","7400 East Thompson
Peak Parkway",Scottsdale,AZ,85255,HonorHealth,N,5,157,.37,.20,190% ,$196.42,24,.68,.31,217% ,"$19,110",1.06,.51,121% ,250%,197%,207% ,.92,.40,.13,.11
030130,"Banner Ironwood Medical
Center","37000 North Gantzel
Road",Queen Creek,AZ,85140,Banner Health,N,4,131,.30,.14,208% ,$208.27,12,.33,.11,292% ,"$25,567",.63,.26,191% ,308% ,207%,245% ,.55,.22,.08,.04
030131,Oasis Hospital,750 North 40th Street,Phoenix,AZ,85008,Dignity Health,N,NA,,,,,,16,.67,.32,210% ,"$16,122",,,,227%,,,,,,
030134,"Banner Goldfield Medical
Center","2050 West Southern
Avenue","Apache
Junction",AZ,85120,Banner Health,N,4,11,.01,.01,230% ,$217.98,,,,,,,,,,209%,,,,,
030136,Arizona General Hospital,"7171 South 51st
Avenue",Laveen,AZ,85339,Independent (IPPS),N,NA,35,.06,.02,342% ,$361.46,,,,,,,,,,360%,,,,,
031302,N. Cochise Comm. Hospital,"901 West Rex Allen
Drive",Willcox,AZ,85643,Independent (CAH),Y,NA,16,.01,.01,110% ,$148.70,,,,,,,,,,103%,,,,,
031314,"Cobre Valley Regional Medical
Center","5880 South Hospital
Drive",Globe,AZ,85501,"HealthTech
Management Services",Y,3,25,.03,.02,145% ,$222.34,,,,,,,,,,137%,,,,,
040001,"Siloam Springs Memorial
Hospital","603 North Progress
Avenue",Siloam Springs,AR,72761,"Community Health
Systems",N,3,16,.04,.02,258% ,$239.53,,,,,,,,,,277%,,,,,
040004,"Washington Regional Medical
Center","3215 N North Hills
Boulevard",Fayetteville,AR,72703,Washington Regional,N,2,85,.14,.07,215% ,$190.12,18,.34,.17,196% ,"$13,622",.48,.24,119% ,213%,235%,201% ,.43,.20,.05,.04
040007,"St Vincent Infirmary Medical
Center",Two St Vincent Circle,Little Rock,AR,72205,"Catholic Health
Initiatives",N,1,47,.07,.04,162% ,$138.47,14,.24,.15,161% ,"$12,533",.31,.19,103% ,185% ,166%,161% ,.26,.14,.05,.05
040010,Mercy Medical Center,"2710 South Rife
Medical Lane",Rogers,AR,72758,Mercy Health,N,4,155,.18,.10,177% ,$153.91,12,.22,.11,198% ,"$12,242",.40,.21,162% ,206%,176%,188% ,.34,.18,.05,.03
040014,White County Medical Center,"3214 East Race
Avenue",Searcy,AR,72143,Unity Health,N,4,32,.04,.04,119% ,$98.71,,,,,,,,,,114%,,,,,
040015,Mena Medical Center,"311 North Morrow
Street",Mena,AR,71953,Independent (IPPS),N,2,17,.02,.01,163% ,$137.96,,,,,,,,,,168%,,,,,
040016,Uams Medical Center,"4301 West Markham
Street Mail Slot 612",Little Rock,AR,72205,"University of Arkansas
for Medica",N,1,216,.40,.25,160% ,$136.98,20,.72,.40,181% ,"$20,844",1.12,.65,137% ,185% ,166%,173% ,1.01,.56,.11,.08
040017,"North Arkansas Regional
Medical Ctr",620 North Main Street,Harrison,AR,72601,Independent (IPPS),N,3,61,.05,.03,135% ,$128.63,,,,,,,,,,137%,,,,,
040019,Forrest City Medical Center,1601 Newcastle Road,Forrest City,AR,72335,Quorum Health,N,2,57,.04,.03,163% ,$149.22,,,,,,,,,,175%,,,,,
040020,St Bernards Medical Center,225 E Jackson,Jonesboro,AR,72401,"Saint Bernards
Healthcare",N,2,89,.11,.09,116% ,$98.49,14,.12,.09,132% ,"$8,872",.23,.19,119% ,135%,113%,124% ,.19,.16,.04,.03
040022,"Northwest Medical Center Of
Washington","609 West Maple
Avenue",Springdale,AR,72764,"Community Health
Systems",N,3,53,.14,.05,269% ,$233.18,,,,,,,,,,294%,,,,,
040026,St. Vincent Hot Springs,300 Werner Street,Hot Springs,AR,71903,"Catholic Health
Initiatives",N,3,181,.25,.15,164% ,$141.74,20,.29,.17,170% ,"$11,646",.54,.32,138% ,179%,169%,167% ,.46,.26,.09,.06
040027,"Baxter Regional Medical
Center",624 Hospital Drive,Mountain Home,AR,72653,"Baxter Regional
Medical Center",N,3,84,.09,.06,165% ,$146.63,11,.43,.15,290% ,"$16,932",.52,.20,148% ,303%,167%,255% ,.48,.18,.03,.02
040029,"Conway Regional Medical
Center  Inc",2302 College Avenue,Conway,AR,72034,"Conway Regional
Health System",N,3,81,.10,.06,154% ,$131.64,12,.15,.09,175% ,"$11,209",.25,.15,131% ,184%,156%,166% ,.22,.13,.03,.03
040036,"Baptist Health Medical Center-
Nlr",3333 Springhill Drive,"North Little
Rock",AR,72117,Baptist Health,N,2,78,.10,.06,148% ,$127.38,,,,,,,,,,153%,,,,,
040039,"Arkansas Methodist Medical
Center",900 West Kingshighway,Paragould,AR,72450,Independent (IPPS),N,2,23,.02,.01,130% ,$106.89,,,,,,,,,,130%,,,,,
040041,"St. Marys Regional Medical
Center",1808 West Main Street,Russellville,AR,72801,Lifepoint Health,N,2,47,.08,.03,252% ,$207.94,,,,,,,,,,267%,,,,,
040055,"Sparks Regional Medical
Center",1001 Towson Avenue,Fort Smith,AR,72902,"Community Health
Systems",N,1,45,.07,.04,190% ,$143.91,,,,,,,,,,205%,,,,,
040062,Mercy Hospital Fort Smith,7301 Rogers Ave,Fort Smith,AR,72917,Mercy Health,N,3,66,.09,.05,157% ,$138.04,12,.12,.08,145% ,"$9,662",.20,.14,137% ,146%,163%,150% ,.18,.11,.03,.02
040069,Great River Medical Center,1520 N Division Street,Blytheville,AR,72315,QHR,N,2,27,.02,.01,179% ,$179.80,,,,,,,,,,200% ,,,,,
040071,"Jefferson Regional Medical
Center",1600 West 40th Avenue,Pine Bluff,AR,71603,Independent (IPPS),N,1,17,.02,.01,140% ,$121.07,,,,,,,,,,133% ,,,,,
