,pn,Hospital name,Street address,City,State,Zip code,"Hospital system or, if independent, IPPS/CAH",Is_hospital_a_critical_access_hospital,"Hospital Compare 5-star rating (October 2018, NA=Not Available)",Number of outpatient services,Total private allowed amount for outpatient services ($ millions),Simulated Medicare allowed amount for outpatient services ($ millions),Relative price for outpatient services,Standardized price per outpatient service,Number of inpatient stays,Total private allowed amount for inpatient services ($ millions),Simulated Medicare allowed amount for inpatient services ($ millions),Relative price for inpatient services,Standardized price per inpatient stay,Total private allowed amount for inpatient and outpatient services ($ millions),Simulated Medicare allowed amount for inpatient and outpatient services ($ millions),Relative price for professional inpatient and outpatient services,Relative price for inpatient facility services,Relative_price_for_outpatient_facility_services,Relative price for inpatient and outpatient services,Total private allowed amount for facility inpatient and outpatient services ($ millions),Simulated Medicare allowed amount for facility inpatient and outpatient services ($ millions),Total private allowed amount for professional inpatient and outpatient services ($ millions),Simulated Medicare allowed amount for professional inpatient and outpatient services ($ millions),ZTCA,year,ccr_wtd,ccr_min,ccr_max,beds_adultped_wtd,beds_adultped_min,beds_adultped_max,beds_totadultped_wtd,beds_totadultped_min,beds_totadultped_max,icu_beds_wtd,icu_beds_min,icu_beds_max,ccu_beds_wtd,ccu_beds_min,ccu_beds_max,bicu_beds_wtd,bicu_beds_min,bicu_beds_max,sicu_beds_wtd,sicu_beds_min,sicu_beds_max,othspec_beds_wtd,othspec_beds_min,othspec_beds_max,beds_total_wtd,beds_total_min,beds_total_max,availbeddays_adultped,ipbeddays_adultped,ipdischarges_adultped,income,totcost,margin,uccare_chg_harmonized,uccare_cost_harmonized,netpatrev,othinc,opexp,othexp,donations,invinc,iphosprev,ipgenrev,ipicrev,iprcrev,ipancrev,ipoprev,iptotrev,opancrev,opoprev,optotrev,tottotrev,totinitchcare,ppaychcare,nonmcbaddebt,costuccare_v2010,chguccare,nreports,nfmt96,nfmt10,nno_uncomp,frac_year_covered,covg_begin_dt,covg_end_dt,flag_short,flag_long,Median_Household_Income,Mean_Household_Income,number_of_hospitals_in_the_zcta,number_of_hospitals_in_25_miles
10,10034,Community Hospital Inc.,805 Friendship Road,Tallassee,AL,36078,Independent (IPPS),0,3.0,28.0,0.02,0.01,129% ,$105.83,,,,,,,,,,113%,,,,,,36078,2018.0,0.414872,0.414872,0.414872,32.0,32.0,32.0,32.0,32.0,32.0,5.0,5.0,5.0,,,,,,,,,,,,,37.0,37.0,37.0,8735.999813,2306.662964,653.7040956000001,17287447.14,18401723.92,-0.06445583,2480557.977,1029114.054,15775262.03,1512185.1130000001,18401723.92,0.0,0.0,0.0,2816508.778,4239848.473999999,244667.8304,4484516.304,4502342.83,0.0,8986859.134,17673063.75,0.0,23579304.19,32566163.32,389811.0821,0.0,2090746.895,1175505.813,,1.0,0.0,1.0,0.0,0.747945205,1-Jan-18,30-Sep-18,1.0,0.0,54842,65307,1,5
11,10035,Cullman Regional,"1912 Alabama Highway
157",Cullman,AL,35058,Independent (IPPS),0,2.0,44.0,0.07,0.03,193% ,$170.34,,,,,,,,,,197%,,,,,,35058,2018.0,0.194520584,0.193161,0.195858,133.0,133.0,133.0,133.0,133.0,133.0,12.0,12.0,12.0,,,,,,,,,,,,,145.0,145.0,145.0,44929.95747,24936.12257,7912.824425,125897873.7,114133518.5,0.09344364,44020757.66,8562974.516,119338259.0,6559614.653,114133518.0,0.0,656353.011,2142707.824,26442570.63,26442570.63,14681425.86,41123996.49,166165707.4,11325270.26,218614974.2,249984443.5,40804573.99,302425532.1,521040506.3,7655884.993,0.0,36364872.66,8846645.954,,2.0,0.0,2.0,0.0,1.0,1-Jan-18,31-Dec-18,0.0,0.0,43188,64632,1,1
12,10039,Huntsville Hospital,101 Sivley Rd,Huntsville,AL,35801,"Huntsville Hospital
Health System",0,2.0,1091.0,1.74,1.12,156% ,$134.60,190.0,4.77,1.54,309% ,"$28,596",6.51,2.66,126% ,376%,158%,245% ,5.71,2.02,0.8,0.63,35801,2018.0,0.17201829600000001,0.168854,0.17513099999999998,698.1232877,683.0,713.0,698.1232877,683.0,713.0,117.51233,116.0,119.0,20.0,20.0,20.0,,,,25.0,25.0,25.0,,,,860.6356163999999,844.0,877.0,254814.9923,179744.5618,49566.13276,1121595959.0,1044273758.0,0.06893944,342280178.8,58933281.54,993014376.6,128581521.2,1044273774.0,0.0,3346130.796,32840749.34,245822550.9,264441744.6,178682415.7,443124160.3,2105177076.0,68346131.21,2616647368.0,2289992141.0,142467364.6,2432459505.0,5049106873.0,83329684.22,492956.1586,259443460.7,72581800.44,,2.0,0.0,2.0,0.0,1.0,1-Jan-18,31-Dec-18,0.0,0.0,71947,108002,2,2
13,10040,"Gadsden Regional Medical
Center",1007 Goodyear Avenue,Gadsden,AL,35903,"Community Health
Systems",0,2.0,13.0,0.09,0.01,669% ,$586.48,,,,,,,,,,873%,,,,,,35903,2018.0,0.06625299999999999,0.06625299999999999,0.06625299999999999,182.0,182.0,182.0,182.0,182.0,182.0,40.0,40.0,40.0,,,,,,,,,,,,,222.0,222.0,222.0,49685.99894,34145.941739999995,9646.249109,126838795.1,133898045.4,-0.055655293,134731340.1,8926355.604,126511372.3,327424.9738,133898047.6,0.0,0.0,0.0,135528586.1,199703713.4,58046960.33,257750673.7,728587068.8,62397936.26,1048735679.0,720558385.8,137252376.1,857810761.9,1906546441.0,75999030.82,4850.424554,58737162.66,9419408.552000001,,1.0,0.0,1.0,0.0,0.747945205,1-Jan-18,30-Sep-18,1.0,0.0,37492,51281,1,2
14,10049,Medical Center Enterprise,400 N Edwards Street,Enterprise,AL,36330,"Community Health
Systems",0,3.0,13.0,0.07,0.01,948% ,$807.81,,,,,,,,,,1244%,,,,,,36330,2018.0,0.069155,0.069155,0.069155,92.0,92.0,92.0,92.0,92.0,92.0,7.0,7.0,7.0,,,,,,,,,,,,,99.0,99.0,99.0,33580.0,7634.0,3392.0,52069128.0,48388828.0,0.070681036,44893992.0,3104644.0,51470700.0,598429.0,48388827.0,0.0,0.0,0.0,15374266.0,15374266.0,4216618.0,19590884.0,145158613.0,5892844.0,170642341.0,400858444.0,45000986.0,445859430.0,616501771.0,21302870.0,2963.0,23594083.0,3265712.0,,1.0,0.0,1.0,0.0,1.0,1-Jan-18,31-Dec-18,0.0,0.0,61447,74597,1,2
15,10055,Flowers Hospital,4370 West Main Street,Dothan,AL,36305,"Community Health
Systems",0,3.0,53.0,0.06,0.05,109% ,$85.03,,,,,,,,,,112%,,,,,,36305,2018.0,0.083856,0.083856,0.083856,203.0,203.0,203.0,203.0,203.0,203.0,32.0,32.0,32.0,,,,,,,,,,,,,235.0,235.0,235.0,55418.998810000005,31783.18288,9128.671038,153371534.3,135540245.8,0.11626205,69819863.69,5854814.345,152824336.9,547197.4486,135540241.3,0.0,0.0,0.0,48200487.05,48200487.05,22819291.65,71019778.69,581191264.2,17356115.99,669567158.9,791937876.0,72543487.4,864481363.4,1534048522.0,34310569.71,6505.6272579999995,35515800.36,6627283.535,,1.0,0.0,1.0,0.0,0.747945205,1-Jan-18,30-Sep-18,1.0,0.0,67601,94617,1,3
16,10056,St Vincents Birmingham,810 St Vincent's Drive,Birmingham,AL,35205,Ascension Health,0,4.0,107.0,0.28,0.18,157% ,$133.94,14.0,0.23,0.12,201% ,"$16,099",0.51,0.29,128% ,235%,162%,174% ,0.42,0.22,0.09,0.07,35205,2018.0,0.174092274,0.16809200000000002,0.18019200000000002,287.3972603,275.0,300.0,287.3972603,275.0,300.0,83.0,83.0,83.0,12.0,12.0,12.0,,,,,,,22.065754000000002,14.0,30.0,404.46301370000003,400.0,409.0,102924.8957,75926.13757,21075.873340000002,443723228.7,434572099.9,0.020623507,104456503.2,18014013.82,424751269.5,18971951.63,434417564.3,154537.5904,143857.8076,315588.6233,124480655.3,124480655.3,64704640.34,189185295.7,727520653.5,33517272.98,950969421.3,1070213818.0,100046060.4,1256794761.0,2207764183.0,85377590.88,0.0,19078912.26,21511308.0,,2.0,0.0,2.0,0.0,1.0,1-Jan-18,31-Dec-18,0.0,0.0,39236,65490,1,6
17,10065,Russell Medical Center,3316 Highway 280,Alexander City,AL,35010,Independent (IPPS),0,3.0,16.0,0.01,0.01,115% ,$92.32,,,,,,,,,,103%,,,,,,35010,2018.0,0.269933,0.269933,0.269933,28.0,28.0,28.0,28.0,28.0,28.0,6.0,6.0,6.0,,,,,,,,,,,,,34.0,34.0,34.0,13870.0,5576.0,2380.0,74811552.0,80088616.0,-0.070538089,4401997.0,1188244.25,65123347.0,9688202.0,80088618.0,0.0,0.0,0.0,6354037.0,6354037.0,3218633.0,9572670.0,30641613.0,0.0,40463700.0,0.0,171417530.0,177487517.0,217951217.0,752575.0,0.0,3649422.0,1477205.0,,1.0,0.0,1.0,0.0,1.0,1-Jan-18,31-Dec-18,0.0,0.0,41954,59677,1,1
18,10078,"Northeast Alabama Regional
Med Ctr",400 East 10th Street,Anniston,AL,36207,"Regional Medical
Center",0,2.0,23.0,0.05,0.03,160% ,$133.47,,,,,,,,,,167%,,,,,,36207,2018.0,0.119368,0.119368,0.119368,232.0,232.0,232.0,232.0,232.0,232.0,18.0,18.0,18.0,,,,,,,,,,,,,250.0,250.0,250.0,63335.99864,33562.54449,9684.394312999999,125228786.2,129181179.9,-0.031561382,74774115.0,8925636.828,115877092.9,9351699.318,129181174.6,0.0,9351699.318,0.0,77851646.18,86144569.25,14855798.8,101000368.0,358203394.1,0.0,459203762.1,0.0,544077179.8,544077179.8,1003280942.0,52704446.93,0.0,22069668.82,9799956.332999999,,1.0,0.0,1.0,0.0,0.747945205,1-Jan-18,30-Sep-18,1.0,0.0,54023,79579,1,1
19,10079,Athens Limestone,700 West Market Street,Athens,AL,35611,"Huntsville Hospital
Health System",0,4.0,54.0,0.08,0.04,183% ,$154.01,,,,,,,,,,186%,,,,,,35611,2018.0,0.21425206,0.20437,0.223973,56.0,56.0,56.0,56.0,56.0,56.0,10.0,10.0,10.0,,,,,,,,,,,,,66.0,66.0,66.0,20439.99939,12058.44897,4277.394396,73210780.81,72470337.17,0.01011386,21426381.93,4578534.3610000005,66768784.19,6441997.601,72470334.67,0.0,120812.1691,17395.6241,7136916.7,7136916.7,2035300.6369999999,9172217.337000001,79639655.56,2582172.565,91394045.46,177833137.0,12388455.58,190221593.6,281615639.0,3410199.186,74471.1999,18090654.45,5034282.475,,2.0,0.0,2.0,0.0,1.0,1-Jan-18,31-Dec-18,0.0,0.0,40257,60090,1,2
20,10083,"South Baldwin Regional
Medical Center","1613 North Mckenzie
Street",Foley,AL,36535,"Community Health
Systems",0,3.0,177.0,0.33,0.14,237% ,$187.14,13.0,0.14,0.08,179% ,"$11,144",0.48,0.22,165% ,187%,254%,216% ,0.41,0.18,0.07,0.04,36535,2018.0,0.075515,0.075515,0.075515,82.0,82.0,82.0,82.0,82.0,82.0,30.0,30.0,30.0,,,,,,,,,,,,,112.0,112.0,112.0,22385.999519999998,13694.876419999999,5031.42729,92917398.43,64346317.02,0.30748904,60356484.19,4557819.794,86618195.07,6299204.857000001,64346319.27,0.0,0.0,0.0,26083968.44,26083968.44,9816369.99,35900338.43,314242899.1,0.0,350143237.5,464402139.0,51915491.91,517560163.1,867703400.6,30752402.97,3993.279367,29608075.25,4684175.037,,1.0,0.0,1.0,0.0,0.747945205,1-Jan-18,30-Sep-18,1.0,0.0,46753,59882,1,2
21,10085,"Decatur Morgan - Decatur
Campus",1201 7th Street Se,Decatur,AL,35601,"Huntsville Hospital
Health System",0,3.0,82.0,0.13,0.05,249% ,$200.12,,,,,,,,,,268%,,,,,,35601,2018.0,0.247388164,0.246212,0.25098200000000004,162.3013699,151.0,166.0,162.3013699,151.0,166.0,23.0,23.0,23.0,11.0,11.0,11.0,,,,,,,,,,196.3013699,185.0,200.0,59239.999110000004,30394.82147,8958.616306,135837171.9,147687162.1,-0.087236725,43181595.19,10682407.75,129270935.0,6566233.408,147687161.1,0.0,955.9725956,49126.51977,16930798.94,32724319.93,12206911.8,44931231.73,136140033.1,10700005.7,191771270.5,232843142.5,38389268.38,271232410.8,463003681.3,6264926.137999999,46127.87601,36962797.44,11626641.36,,2.0,0.0,2.0,0.0,1.0,1-Jan-18,31-Dec-18,0.0,0.0,43267,57868,1,2
22,10090,Providence Hospital,6801 Airport Boulevard,Mobile,AL,36608,Ascension Health,0,2.0,79.0,0.08,0.04,179% ,$148.80,,,,,,,,,,184%,,,,,,36608,2018.0,0.232665244,0.21895799999999999,0.24614899999999998,296.0,296.0,296.0,296.0,296.0,296.0,33.0,33.0,33.0,20.0,20.0,20.0,,,,,,,,,,349.0,349.0,349.0,108039.9968,56211.7161,14056.763969999998,214149344.3,210824224.9,0.015527105,60908084.89,14101965.25,209464029.3,4685320.462,210824225.4,0.0,9731.561647,2660.271217,51594810.46,51594810.46,16369948.46,67964758.92,321955452.8,17237059.22,408038005.5,308393587.8,120749526.6,431924492.4,839962497.9,50080151.27,0.0,10827934.12,16090611.08,,2.0,0.0,2.0,0.0,1.0,1-Jan-18,31-Dec-18,0.0,0.0,51332,74142,2,2
23,10092,Dch Regional Medical Center,"809 University
Boulevard East",Tuscaloosa,AL,35401,DCH Health System,0,2.0,122.0,0.14,0.09,167% ,$159.15,14.0,0.26,0.1,253% ,"$22,626",0.4,0.19,145% ,282%,170% ,214% ,0.34,0.15,0.06,0.04,35401,2018.0,0.23826599999999998,0.23826599999999998,0.23826599999999998,362.0,362.0,362.0,362.0,362.0,362.0,103.0,103.0,103.0,32.0,32.0,32.0,,,,,,,,,,497.0,497.0,497.0,98825.99789,75834.16276,23728.56114,369934121.5,363279731.0,0.017988043000000002,98455741.08,23458656.14,354136949.2,15797173.83,363279737.7,0.0,15797173.83,0.0,95835008.45,118080760.8,49382129.75,167462890.5,565123000.7,0.0,732585891.2,690810990.0,0.0,696403453.3,1428989344.0,85557385.15,0.0,12898353.69,28162596.38,,1.0,0.0,1.0,0.0,0.747945205,1-Jan-18,30-Sep-18,1.0,0.0,26216,40055,1,1
24,10097,Elmore Community Hospital,500 Hospital Drive,Wetumpka,AL,36092,Independent (IPPS),0,4.0,11.0,0.01,0.0,148% ,$125.03,,,,,,,,,,135% ,,,,,,36092,2018.0,0.333298,0.333298,0.333298,33.0,33.0,33.0,33.0,33.0,33.0,,,,,,,,,,,,,,,,33.0,33.0,33.0,12045.0,3590.0,789.0,16154805.0,14949790.0,0.074591741,2689577.0,896430.625,15588703.0,566102.0,14949790.0,0.0,0.0,0.0,1378232.0,1378232.0,0.0,1378232.0,3760969.0,515268.0,6292942.0,23064784.0,1754230.0,35748610.0,42041552.0,363902.0,0.0,2325675.0,941099.0,,1.0,0.0,1.0,0.0,1.0,1-Jan-18,31-Dec-18,0.0,0.0,54861,69482,1,6
25,10099,"D W Mcmillan Memorial
Hospital",1301 Belleville Avenue,Brewton,AL,36426,Independent (IPPS),0,3.0,19.0,0.01,0.01,164% ,$121.20,,,,,,,,,,168%,,,,,,36426,2018.0,0.303333,0.303333,0.303333,38.0,38.0,38.0,38.0,38.0,38.0,8.0,8.0,8.0,,,,,,,,,,,,,46.0,46.0,46.0,10373.99978,3096.493084,1132.389017,19695239.78,19609244.03,0.004366322,4667758.388,1415885.1130000001,16794339.59,2900900.93,18551007.05,1058236.235,414047.49799999996,103409.406,976833.6202,976833.6202,669543.3309,1646376.951,9476125.236,1014344.567,12635634.2,34153995.61,7955492.082,44505672.96,57141307.16,138431.1916,7141.380669,4536468.577,1531945.0769999998,,1.0,0.0,1.0,0.0,0.747945205,1-Jan-18,30-Sep-18,1.0,0.0,40511,53840,1,3
26,10100,Thomas Hospital,750 Morphy Avenue,Fairhope,AL,36532,"Infirmary Health
System",0,3.0,106.0,0.2,0.09,213% ,$157.92,,,,,,,,,,232%,,,,,,36532,2018.0,0.25882627399999997,0.255796,0.259818,112.0,112.0,112.0,112.0,112.0,112.0,10.0,10.0,10.0,,,,,,,7.0,7.0,7.0,,,,129.0,129.0,129.0,40879.99939,31689.65706,10068.97245,171726773.3,161782017.1,0.057910342000000004,29514489.83,7642612.212,168854998.8,2871772.488,161782018.3,0.0,1562527.6130000001,483930.7483,14082650.54,17148255.3,5165737.223999999,22313992.52,217508927.9,8658300.719,248481221.1,313854592.6,28631034.99,342489941.7,590971162.8,2635182.673,9670.958736,26888977.86,8408031.638,,2.0,0.0,2.0,0.0,1.0,1-Jan-18,31-Dec-18,0.0,0.0,69766,105482,1,2
